,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数
531,Jin Wang,Wang,Jin,王瑾,王瑾,王瑾,0,0,Wang, Jin,0.0,0.0,0,0,10
532,Jing Wang,Wang,Jing,王瑾,王瑾,王瑾,0,0,Wang, Jing,0.0,0.0,0,0,10
543,May Wang,Wang,May,楼占梅,楼占梅,樓佔梅,0,0,Wang, May,0.0,0.0,0,0,10
544,May Wang,Wang,May,樓占梅,楼占梅,樓占梅,0,0,Wang, May,0.0,0.0,0,0,10
550,Q. Edward Wang,Wang,Q. Edward,王晴佳,王晴佳,王晴佳,0,0,Wang, Q. Edward,0.0,0.0,0,0,20
553,Richard Wang,Wang,Richard,王崗,王岗,王崗,0,0,Wang, Richard,0.0,0.0,0,0,20
566,Yanjun Isabel Wang,Wang,Yanjun Isabel,王豔君,王艳君,王豔君,0,0,Wang, Yanjun Isabel,0.0,0.0,0,0,10
589,Frederic E. Jr. Wakeman,Wakeman,Frederic E. Jr.,魏斐德,魏斐德,魏斐德,0,0,Wakeman, Frederic E. Jr.,0.0,0.0,0,0,10
590,Frederic Evans Wakeman,Wakeman,Frederic Evans,魏斐德,魏斐德,魏斐德,0,0,Wakeman, Frederic Evans,0.0,0.0,0,0,10
591,"Frederic Wakeman, Jr.",Wakeman,Frederic Wakem,魏斐德,魏斐德,魏斐德,0,0,Wakeman,Frederic Wakem,0.0,0.0,0,0,10
606,Richard Von Glahn,Von Glahn,Richard,万志英,万志英,萬志英,0,0,Von Glahn, Richard,0.0,0.0,0,0,10
